line,redistill_id,tier,old_has_vuln,old_cwe,new_has_vuln,new_cwe,flags,决定
7135,,A_直接替换,True,CWE-208,True,CWE-321,"",
2255,,A_直接替换,True,CWE-208,True,CWE-203,"",
6855,,A_直接替换,True,CWE-862,True,CWE-306,"",
6861,,A_直接替换,True,CWE-862,True,CWE-306,"",
1630,,A_直接替换,True,CWE-918,True,CWE-862,"",
1721,,A_直接替换,True,CWE-502,True,CWE-565,"",
228,,A_直接替换,True,CWE-367,True,CWE-61,"",
1515,,A_直接替换,True,CWE-502,True,CWE-150,"",
39,,A_直接替换,True,CWE-122,True,CWE-787,"",
163,,A_直接替换,True,CWE-120,True,CWE-122,"",
1724,,A_直接替换,True,CWE-798,True,CWE-321,"",
2471,,A_直接替换,True,CWE-330,True,CWE-338,"",
155,,A_直接替换,True,CWE-416,True,CWE-401,"",
1530,,A_直接替换,True,CWE-798,True,CWE-321,"",
809,,A_直接替换,True,CWE-90,True,CWE-798,"",
2489,,A_直接替换,True,CWE-330,True,CWE-338,"",
913,,A_直接替换,True,CWE-611,True,CWE-1236,"",
66,,A_直接替换,True,CWE-122,True,CWE-125,"",
2476,,A_直接替换,True,CWE-330,True,CWE-338,"",
2487,,A_直接替换,True,CWE-330,True,CWE-338,"",
529,,A_直接替换,True,CWE-78,True,CWE-798,"",
1512,,A_直接替换,True,CWE-798,True,CWE-916,"",
1046,,A_直接替换,True,CWE-601,True,CWE-79,"",
185,,A_直接替换,True,CWE-367,True,CWE-362,"",
1015,,A_直接替换,True,CWE-441,True,CWE-321,"",
2492,,A_直接替换,True,CWE-330,True,CWE-338,"",
58,,A_直接替换,True,CWE-120,True,CWE-122,"",
230,,A_直接替换,True,CWE-121,True,CWE-908,"",
1168,,A_直接替换,True,CWE-352,True,CWE-640,"",
1593,,A_直接替换,True,CWE-798,True,CWE-321,"",
144,,A_直接替换,True,CWE-415,True,CWE-787,"",
54,,A_直接替换,True,CWE-121,True,CWE-787,"",
7436,,A_直接替换,True,CWE-90,True,CWE-295,"",
40,,A_直接替换,True,CWE-125,True,CWE-787,"",
10051,,A_直接替换,True,CWE-20,True,CWE-129,"",
7870,,A_直接替换,True,CWE-862,True,CWE-639,"",
1321,,B_补锚句后换,True,CWE-326,True,CWE-327,"C6 近邻族 CWE-327 缺互斥锚句",
1372,,B_补锚句后换,True,CWE-326,True,CWE-327,"C6 近邻族 CWE-327 缺互斥锚句",
1433,,B_补锚句后换,True,CWE-326,True,CWE-327,"C6 近邻族 CWE-327 缺互斥锚句",
273,,B_补锚句后换,True,CWE-912,True,CWE-78,"C6 近邻族 CWE-78 缺互斥锚句",
361,,B_补锚句后换,True,CWE-912,True,CWE-78,"C6 近邻族 CWE-78 缺互斥锚句",
591,,B_补锚句后换,True,CWE-912,True,CWE-78,"C6 近邻族 CWE-78 缺互斥锚句",
685,,B_补锚句后换,True,CWE-798,True,CWE-22,"C6 近邻族 CWE-22 缺互斥锚句",
851,,B_补锚句后换,True,CWE-1336,True,CWE-94,"C6 近邻族 CWE-94 缺互斥锚句",
1044,,C_人工终裁,False,,True,CWE-916,"FLIP 判定翻转（原 False → 新 True）→ 人工复核",
110,,C_人工终裁,True,CWE-125,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
1126,,C_人工终裁,True,CWE-441,True,CWE-798,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
116,,C_人工终裁,True,CWE-415,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
1587,,C_人工终裁,True,CWE-416,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
165,,C_人工终裁,True,CWE-120,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
227,,C_人工终裁,True,CWE-416,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
235,,C_人工终裁,True,CWE-120,False,,"FLIP 判定翻转（原 True → 新 False）→ 人工复核",
3020,,C_人工终裁,False,,True,CWE-78,"C6 近邻族 CWE-78 缺互斥锚句; FLIP 判定翻转（原 False → 新 True）→ 人工复核",
3957,,C_人工终裁,False,,True,CWE-22,"C6 近邻族 CWE-22 缺互斥锚句; FLIP 判定翻转（原 False → 新 True）→ 人工复核",
4848,,C_人工终裁,False,,True,CWE-321,"FLIP 判定翻转（原 False → 新 True）→ 人工复核",
5119,,C_人工终裁,False,,True,CWE-416,"FLIP 判定翻转（原 False → 新 True）→ 人工复核",
