line,lang,has_vuln,cwe,stratum,stratum_n,oversampled,verdict,verdict_basis
10,c,True,CWE-787,c|vuln,313,1,,
66,cpp,True,CWE-125,cpp|vuln,108,1,,
79,c,True,CWE-416,c|vuln,313,1,,
80,c,True,CWE-415,c|vuln,313,1,,
101,c,True,CWE-367,c|vuln,313,1,,
114,c,True,CWE-125,c|vuln,313,1,,
147,c,True,CWE-416,c|vuln,313,1,,
150,c,True,CWE-416,c|vuln,313,1,,
162,cpp,True,CWE-415,cpp|vuln,108,1,,
202,cpp,True,CWE-190,cpp|vuln,108,1,,
213,c,True,CWE-415,c|vuln,313,1,,
231,cpp,True,CWE-190,cpp|vuln,108,1,,
290,python,True,CWE-918,python|vuln,1420,1,,
304,go,True,CWE-918,go|vuln,407,1,,
321,python,True,CWE-78,python|vuln,1420,1,,
359,bash,True,CWE-78,bash|vuln,143,0,,
360,javascript,True,CWE-78,javascript|vuln,805,1,,
366,javascript,True,CWE-78,javascript|vuln,805,1,,
375,bash,True,CWE-749,bash|vuln,143,0,,
407,go,True,CWE-78,go|vuln,407,1,,
418,javascript,True,CWE-918,javascript|vuln,805,1,,
428,go,True,CWE-918,go|vuln,407,1,,
453,bash,True,CWE-78,bash|vuln,143,0,,
509,go,True,CWE-78,go|vuln,407,1,,
510,javascript,True,CWE-749,javascript|vuln,805,1,,
533,bash,True,CWE-918,bash|vuln,143,0,,
555,go,True,CWE-78,go|vuln,407,1,,
561,javascript,True,CWE-749,javascript|vuln,805,1,,
585,go,True,CWE-88,go|vuln,407,1,,
591,go,True,CWE-78,go|vuln,407,1,,
636,java,True,CWE-89,java|vuln,671,1,,
664,java,True,CWE-117,java|vuln,671,1,,
670,python,True,CWE-798,python|vuln,1420,1,,
685,java,True,CWE-79,java|vuln,671,1,,
701,javascript,True,CWE-117,javascript|vuln,805,1,,
713,python,True,CWE-90,python|vuln,1420,1,,
715,php,True,CWE-117,php|vuln,429,1,,
747,java,True,CWE-79,java|vuln,671,1,,
750,javascript,True,CWE-502,javascript|vuln,805,1,,
779,php,True,CWE-502,php|vuln,429,1,,
800,javascript,True,CWE-943,javascript|vuln,805,1,,
815,javascript,True,CWE-798,javascript|vuln,805,1,,
846,php,True,CWE-89,php|vuln,429,1,,
899,python,True,CWE-89,python|vuln,1420,1,,
905,php,True,CWE-89,php|vuln,429,1,,
916,java,True,CWE-22,java|vuln,671,1,,
924,php,True,CWE-352,php|vuln,429,1,,
925,javascript,True,CWE-943,javascript|vuln,805,1,,
927,php,True,CWE-90,php|vuln,429,1,,
938,javascript,True,CWE-798,javascript|vuln,805,1,,
941,php,True,CWE-611,php|vuln,429,1,,
975,java,True,CWE-639,java|vuln,671,1,,
1015,java,True,CWE-862,java|vuln,671,1,,
1023,javascript,True,CWE-441,javascript|vuln,805,1,,
1041,python,True,CWE-862,python|vuln,1420,1,,
1088,python,True,CWE-89,python|vuln,1420,1,,
1113,javascript,True,CWE-601,javascript|vuln,805,1,,
1124,javascript,True,CWE-798,javascript|vuln,805,1,,
1160,python,True,CWE-89,python|vuln,1420,1,,
1183,python,True,CWE-643,python|vuln,1420,1,,
1205,java,True,CWE-90,java|vuln,671,1,,
1243,ini,True,CWE-798,ini|vuln,15,0,,
1247,ini,True,CWE-1188,ini|vuln,15,0,,
1257,yaml,True,CWE-276,yaml|vuln,95,0,,
